time,price,nav
2019-05-10,952.55,37620.09
2019-05-13,958.54,37719.17
2019-05-14,965.34,37895.9
2019-05-15,975.64,38012.98
2019-05-16,975.69,38380.44
2019-05-17,976.48,38276.69
2019-05-20,987.13,38257.91
2019-05-21,986.29,38728.32
2019-05-22,983.78,38738.11
2019-05-23,982.71,38713.33
2019-05-24,970.03,38823.7
2019-05-27,975.14,38474.89
2019-05-28,972.0,38468.84
2019-05-29,971.54,38469.09
2019-05-30,969.34,38359.68
2019-05-31,959.88,38290.07
2019-06-03,946.47,37915.71
2019-06-04,951.16,37423.27
2019-06-05,951.41,37584.27
2019-06-06,948.21,37628.82
2019-06-07,958.28,37538.9
2019-06-10,962.9,37962.01
2019-06-11,962.07,38040.69
2019-06-12,954.17,38105.08
2019-06-13,950.08,37907.27
2019-06-14,953.61,37702.0
2019-06-17,946.95,37789.53
2019-06-18,944.01,37518.34
2019-06-19,949.69,37513.38
2019-06-20,959.18,37727.7
2019-06-21,959.2,38147.37
2019-06-24,962.85,38196.98
2019-06-25,960.13,38195.74
2019-06-26,959.13,38125.36
2019-06-27,943.11,38087.29
2019-06-28,949.94,37633.45
2019-07-01,965.61,38001.51
2019-07-02,961.98,38422.02
2019-07-03,960.39,38354.51
2019-07-04,973.04,38246.57
2019-07-05,975.34,38596.87
2019-07-08,966.35,38634.9
2019-07-09,969.05,38275.33
2019-07-10,973.65,38464.04
2019-07-11,978.63,38580.87
2019-07-12,975.4,38741.2
2019-07-15,972.53,38709.55
2019-07-16,982.11,38816.63
2019-07-17,982.57,39111.36
2019-07-18,976.05,39136.8
2019-07-19,982.34,39099.56
2019-07-22,982.04,39433.34
2019-07-23,989.46,39606.97
2019-07-24,988.41,39890.68
2019-07-25,994.95,39698.94
2019-07-26,993.35,39885.03
2019-07-29,997.94,39860.22
2019-07-30,986.02,39905.69
2019-07-31,991.66,39411.69
2019-08-01,997.39,39771.45
2019-08-02,991.1,40065.49
2019-08-05,973.15,40033.41
2019-08-06,964.61,39729.93
2019-08-07,965.93,39589.05
2019-08-08,975.24,39785.1
2019-08-09,974.34,39953.88
2019-08-12,975.31,40064.82
2019-08-13,966.83,40259.1
2019-08-14,968.91,40123.24
2019-08-15,979.38,40167.52
2019-08-16,980.0,40509.05
2019-08-19,981.03,40440.77
2019-08-20,984.67,40507.79
2019-08-21,994.38,40811.96
2019-08-22,997.26,41041.2
2019-08-23,992.45,40926.72
2019-08-26,982.88,40818.72
2019-08-27,976.79,40654.58
2019-08-28,977.26,40386.12
2019-08-29,978.59,40277.82
2019-08-30,984.06,40419.23
2019-09-03,979.36,40568.93
2019-09-04,977.63,40332.15
2019-09-05,976.79,40336.43
2019-09-06,974.08,40175.31
